iter	Passed	Remaining
0	133	133637
1	135	67419
2	136	45272
3	137	34182
4	138	27516
5	139	23109
6	140	19976
7	142	17669
8	144	15884
9	145	14432
10	146	13207
11	147	12183
12	149	11316
13	150	10580
14	151	9941
15	152	9381
16	153	8885
17	155	8468
18	156	8070
19	157	7720
20	158	7409
21	160	7124
22	161	6858
23	162	6615
24	163	6395
25	165	6188
26	166	5997
27	169	5877
28	171	5732
29	172	5580
30	173	5430
31	174	5287
32	175	5155
33	177	5031
34	178	4916
35	179	4816
36	181	4712
37	182	4615
38	183	4529
39	185	4446
40	186	4359
41	187	4284
42	189	4208
43	190	4137
44	192	4084
45	194	4026
46	196	3975
47	197	3914
48	199	3866
49	200	3818
50	202	3769
51	203	3716
52	205	3663
53	206	3613
54	207	3568
55	209	3524
56	210	3480
57	212	3448
58	213	3411
59	215	3372
60	216	3335
61	218	3310
62	220	3275
63	221	3239
64	223	3216
65	226	3205
66	228	3177
67	229	3146
68	230	3115
69	232	3085
70	233	3059
71	235	3030
72	236	3003
73	238	2989
74	240	2968
75	244	2974
76	245	2948
77	247	2921
78	249	2909
79	251	2888
80	254	2882
81	255	2855
82	255	2824
83	256	2798
84	257	2776
85	259	2757
86	260	2734
87	261	2710
88	262	2687
89	264	2671
90	269	2688
91	270	2671
92	271	2650
93	273	2634
94	274	2619
95	276	2602
96	277	2585
97	279	2571
98	281	2561
99	283	2551
100	285	2537
101	286	2522
102	287	2504
103	288	2489
104	292	2490
105	293	2477
106	296	2471
107	297	2458
108	298	2442
109	300	2430
110	302	2418
111	303	2405
112	304	2389
113	305	2375
114	306	2359
115	307	2346
116	309	2334
117	311	2325
118	313	2319
119	314	2306
120	316	2298
121	317	2287
122	319	2275
123	320	2261
124	321	2247
125	323	2241
126	324	2231
127	327	2227
128	328	2218
129	329	2207
130	330	2195
131	331	2182
132	332	2170
133	333	2158
134	335	2147
135	337	2141
136	339	2136
137	341	2131
138	342	2122
139	343	2111
140	345	2103
141	345	2090
142	347	2080
143	348	2069
144	348	2057
145	350	2048
146	352	2044
147	354	2040
148	355	2031
149	356	2022
150	357	2012
151	359	2005
152	360	1996
153	362	1989
154	363	1979
155	364	1972
156	366	1966
157	367	1956
158	368	1948
159	369	1939
160	370	1929
161	371	1921
162	372	1914
163	374	1906
164	375	1898
165	376	1890
166	377	1883
167	381	1888
168	382	1882
169	383	1874
170	385	1867
171	386	1859
172	387	1851
173	388	1843
174	389	1836
175	390	1828
176	391	1820
177	392	1811
178	393	1804
179	394	1798
180	395	1791
181	396	1783
182	397	1775
183	399	1770
184	400	1764
185	401	1756
186	402	1751
187	404	1745
188	405	1739
189	406	1732
190	408	1728
191	409	1721
192	410	1716
193	411	1710
194	413	1705
195	414	1698
196	415	1694
197	417	1691
198	418	1685
199	419	1678
200	420	1672
201	422	1667
202	423	1662
203	424	1656
204	425	1651
205	426	1644
206	427	1638
207	428	1632
208	429	1627
209	431	1623
210	432	1618
211	433	1611
212	434	1606
213	435	1599
214	437	1596
215	438	1591
216	439	1585
217	440	1581
218	442	1576
219	443	1572
220	445	1569
221	446	1565
222	447	1560
223	448	1554
224	449	1549
225	452	1548
226	453	1545
227	455	1540
228	456	1535
229	457	1533
230	459	1528
231	460	1523
232	461	1518
233	462	1513
234	463	1508
235	464	1505
236	466	1502
237	468	1500
238	470	1498
239	471	1493
240	472	1488
241	474	1484
242	475	1479
243	475	1474
244	476	1469
245	477	1464
246	479	1460
247	482	1463
248	483	1459
249	484	1454
250	485	1449
251	487	1447
252	488	1443
253	490	1440
254	491	1436
255	492	1432
256	495	1432
257	497	1430
258	499	1430
259	501	1427
260	502	1422
261	503	1417
262	504	1413
263	505	1409
264	506	1405
265	509	1405
266	511	1403
267	512	1399
268	513	1394
269	514	1390
270	515	1386
271	516	1382
272	518	1380
273	519	1375
274	520	1371
275	521	1368
276	523	1366
277	525	1365
278	527	1362
279	528	1359
280	529	1356
281	531	1352
282	531	1347
283	533	1344
284	534	1340
285	536	1339
286	539	1339
287	541	1339
288	543	1337
289	544	1334
290	545	1329
291	547	1327
292	548	1323
293	549	1320
294	551	1318
295	553	1316
296	554	1312
297	555	1309
298	556	1305
299	557	1301
300	559	1298
301	560	1295
302	562	1294
303	564	1291
304	566	1291
305	567	1287
306	569	1284
307	570	1281
308	571	1277
309	572	1273
310	573	1271
311	575	1268
312	576	1265
313	578	1263
314	580	1261
315	581	1258
316	583	1256
317	584	1252
318	585	1249
319	587	1247
320	588	1245
321	589	1242
322	591	1239
323	592	1237
324	594	1235
325	596	1232
326	597	1229
327	598	1225
328	599	1222
329	600	1219
330	601	1216
331	602	1212
332	604	1209
333	605	1206
334	606	1203
335	607	1200
336	609	1198
337	610	1195
338	611	1191
339	612	1189
340	614	1187
341	615	1183
342	616	1180
343	617	1177
344	618	1174
345	619	1171
346	620	1168
347	621	1165
348	623	1162
349	624	1159
350	626	1157
351	627	1155
352	629	1153
353	630	1151
354	632	1148
355	633	1146
356	636	1146
357	638	1144
358	640	1142
359	641	1140
360	643	1138
361	644	1135
362	645	1132
363	646	1128
364	647	1125
365	648	1122
366	649	1120
367	652	1120
368	653	1117
369	655	1115
370	656	1113
371	657	1110
372	658	1107
373	659	1104
374	660	1101
375	661	1098
376	662	1095
377	664	1093
378	666	1091
379	667	1089
380	669	1087
381	670	1085
382	672	1083
383	674	1081
384	675	1078
385	676	1076
386	678	1075
387	681	1074
388	682	1072
389	683	1069
390	684	1066
391	685	1063
392	686	1060
393	687	1057
394	689	1055
395	690	1053
396	692	1051
397	693	1049
398	694	1046
399	695	1043
400	696	1041
401	697	1038
402	699	1035
403	700	1033
404	701	1030
405	702	1027
406	703	1025
407	705	1023
408	706	1020
409	707	1018
410	708	1015
411	710	1013
412	711	1010
413	712	1008
414	713	1005
415	714	1003
416	716	1001
417	717	999
418	719	997
419	721	995
420	722	993
421	724	991
422	725	989
423	726	986
424	727	984
425	729	982
426	730	980
427	731	977
428	732	974
429	734	973
430	735	971
431	737	969
432	738	966
433	739	964
434	740	961
435	741	958
436	743	957
437	744	954
438	746	953
439	747	950
440	748	948
441	749	946
442	751	944
443	753	943
444	754	940
445	755	938
446	756	936
447	757	933
448	758	931
449	760	929
450	761	926
451	762	924
452	764	922
453	766	921
454	768	920
455	769	918
456	771	916
457	773	914
458	774	912
459	775	910
460	776	907
461	778	906
462	779	904
463	780	902
464	782	900
465	783	898
466	785	896
467	786	893
468	787	891
469	788	888
470	789	886
471	790	884
472	791	882
473	793	880
474	794	878
475	797	878
476	799	876
477	800	874
478	801	872
479	802	869
480	803	867
481	805	865
482	806	863
483	812	865
484	813	863
485	814	861
486	815	859
487	816	856
488	817	854
489	819	853
490	821	851
491	822	849
492	823	847
493	824	844
494	826	843
495	827	840
496	828	838
497	829	836
498	831	834
499	832	832
500	834	831
501	836	829
502	837	827
503	839	825
504	840	824
505	842	822
506	843	820
507	844	818
508	846	816
509	847	814
510	849	812
511	850	810
512	853	809
513	854	807
514	855	805
515	857	803
516	858	801
517	859	799
518	860	797
519	861	794
520	863	794
521	865	792
522	866	790
523	867	788
524	868	786
525	870	784
526	873	784
527	874	782
528	875	779
529	878	778
530	879	776
531	880	774
532	881	772
533	883	770
534	884	768
535	900	779
536	902	777
537	903	775
538	904	773
539	905	771
540	906	768
541	907	766
542	908	764
543	909	762
544	910	760
545	911	758
546	912	755
547	913	753
548	914	751
549	916	750
550	918	748
551	919	746
552	920	744
553	921	742
554	922	739
555	923	737
556	924	735
557	926	734
558	928	732
559	930	730
560	931	729
561	933	727
562	934	725
563	935	723
564	936	721
565	938	719
566	940	718
567	941	716
568	943	714
569	944	712
570	945	710
571	947	708
572	948	706
573	949	704
574	950	702
575	951	700
576	952	698
577	953	696
578	955	694
579	957	693
580	959	692
581	960	689
582	961	688
583	963	686
584	965	684
585	967	683
586	969	682
587	971	680
588	973	679
589	975	678
590	977	676
591	981	676
592	983	675
593	985	673
594	987	672
595	989	670
596	990	668
597	992	667
598	994	665
599	995	663
600	998	662
601	1000	661
602	1002	660
603	1004	658
604	1006	657
605	1008	655
606	1010	654
607	1012	652
608	1013	651
609	1017	650
610	1019	648
611	1020	647
612	1022	645
613	1024	643
614	1025	642
615	1026	639
616	1027	637
617	1028	635
618	1030	634
619	1032	632
620	1033	630
621	1036	630
622	1038	628
623	1040	627
624	1041	625
625	1042	623
626	1044	621
627	1045	619
628	1047	617
629	1048	616
630	1050	614
631	1051	612
632	1053	610
633	1055	609
634	1057	607
635	1060	607
636	1062	605
637	1063	603
638	1064	601
639	1065	599
640	1066	597
641	1069	596
642	1070	594
643	1071	592
644	1072	590
645	1075	589
646	1077	588
647	1080	586
648	1084	586
649	1087	585
650	1089	584
651	1091	582
652	1092	580
653	1093	578
654	1097	578
655	1101	577
656	1103	575
657	1105	574
658	1107	573
659	1110	572
660	1111	570
661	1114	569
662	1118	568
663	1121	567
664	1123	566
665	1125	564
666	1127	562
667	1128	560
668	1130	559
669	1132	557
670	1134	556
671	1135	554
672	1137	552
673	1138	550
674	1140	549
675	1142	547
676	1144	546
677	1145	544
678	1147	542
679	1148	540
680	1150	538
681	1151	537
682	1153	535
683	1153	533
684	1154	531
685	1156	529
686	1157	527
687	1159	525
688	1160	523
689	1162	522
690	1164	520
691	1166	519
692	1168	517
693	1170	515
694	1171	514
695	1173	512
696	1175	511
697	1177	509
698	1179	507
699	1181	506
700	1183	504
701	1185	503
702	1187	501
703	1190	500
704	1192	498
705	1193	496
706	1194	495
707	1195	493
708	1196	491
709	1197	489
710	1201	488
711	1204	487
712	1206	485
713	1207	483
714	1208	481
715	1209	479
716	1210	477
717	1212	476
718	1213	474
719	1215	472
720	1217	471
721	1219	469
722	1221	467
723	1222	466
724	1224	464
725	1226	462
726	1227	460
727	1228	459
728	1231	457
729	1234	456
730	1235	454
731	1237	453
732	1239	451
733	1240	449
734	1242	447
735	1243	446
736	1245	444
737	1246	442
738	1248	440
739	1249	439
740	1250	437
741	1251	435
742	1252	433
743	1253	431
744	1254	429
745	1255	427
746	1256	425
747	1257	423
748	1258	421
749	1260	420
750	1260	418
751	1261	416
752	1263	414
753	1264	412
754	1267	411
755	1267	409
756	1269	407
757	1270	405
758	1270	403
759	1272	401
760	1273	400
761	1275	398
762	1276	396
763	1277	394
764	1278	392
765	1279	390
766	1280	389
767	1281	387
768	1282	385
769	1284	383
770	1285	381
771	1286	379
772	1287	378
773	1288	376
774	1290	374
775	1292	373
776	1293	371
777	1294	369
778	1296	367
779	1297	365
780	1298	364
781	1299	362
782	1300	360
783	1302	358
784	1303	356
785	1304	355
786	1305	353
787	1306	351
788	1307	349
789	1308	347
790	1309	345
791	1310	344
792	1311	342
793	1311	340
794	1312	338
795	1313	336
796	1314	334
797	1315	333
798	1317	331
799	1318	329
800	1319	327
801	1320	326
802	1321	324
803	1322	322
804	1323	320
805	1324	318
806	1326	317
807	1327	315
808	1329	313
809	1331	312
810	1332	310
811	1333	308
812	1334	307
813	1335	305
814	1337	303
815	1338	301
816	1339	300
817	1340	298
818	1342	296
819	1343	294
820	1344	293
821	1345	291
822	1346	289
823	1347	287
824	1349	286
825	1350	284
826	1351	282
827	1352	280
828	1353	279
829	1354	277
830	1356	275
831	1357	274
832	1358	272
833	1359	270
834	1360	268
835	1361	267
836	1362	265
837	1364	263
838	1365	262
839	1367	260
840	1368	258
841	1369	256
842	1370	255
843	1372	253
844	1373	251
845	1374	250
846	1375	248
847	1376	246
848	1378	245
849	1379	243
850	1381	241
851	1383	240
852	1384	238
853	1385	236
854	1386	235
855	1388	233
856	1389	231
857	1390	230
858	1391	228
859	1392	226
860	1394	225
861	1396	223
862	1397	221
863	1399	220
864	1400	218
865	1402	216
866	1403	215
867	1404	213
868	1405	211
869	1407	210
870	1408	208
871	1409	206
872	1410	205
873	1411	203
874	1412	201
875	1413	200
876	1415	198
877	1416	196
878	1418	195
879	1419	193
880	1420	191
881	1422	190
882	1424	188
883	1425	187
884	1427	185
885	1429	183
886	1430	182
887	1431	180
888	1434	179
889	1435	177
890	1437	175
891	1438	174
892	1441	172
893	1445	171
894	1447	169
895	1448	168
896	1449	166
897	1451	164
898	1453	163
899	1455	161
900	1456	160
901	1460	158
902	1462	157
903	1463	155
904	1465	153
905	1467	152
906	1468	150
907	1469	148
908	1471	147
909	1473	145
910	1474	144
911	1476	142
912	1478	140
913	1480	139
914	1481	137
915	1482	135
916	1483	134
917	1484	132
918	1486	131
919	1488	129
920	1490	127
921	1491	126
922	1493	124
923	1494	122
924	1495	121
925	1497	119
926	1498	118
927	1502	116
928	1503	114
929	1504	113
930	1505	111
931	1507	109
932	1508	108
933	1509	106
934	1510	104
935	1510	103
936	1512	101
937	1514	100
938	1516	98
939	1517	96
940	1519	95
941	1520	93
942	1521	91
943	1522	90
944	1523	88
945	1524	87
946	1526	85
947	1527	83
948	1529	82
949	1530	80
950	1531	78
951	1532	77
952	1533	75
953	1534	74
954	1536	72
955	1537	70
956	1538	69
957	1539	67
958	1539	65
959	1541	64
960	1543	62
961	1545	61
962	1546	59
963	1547	57
964	1548	56
965	1549	54
966	1550	52
967	1551	51
968	1552	49
969	1553	48
970	1554	46
971	1557	44
972	1558	43
973	1560	41
974	1561	40
975	1562	38
976	1563	36
977	1563	35
978	1565	33
979	1566	31
980	1567	30
981	1568	28
982	1569	27
983	1571	25
984	1573	23
985	1575	22
986	1576	20
987	1577	19
988	1578	17
989	1580	15
990	1581	14
991	1582	12
992	1583	11
993	1584	9
994	1585	7
995	1586	6
996	1588	4
997	1588	3
998	1590	1
999	1591	0
